log_entry,log_level
17/06/09 18:35:58 INFO storage.BlockManager: Found block rdd_11327_36 locally,INFO
17/06/08 11:35:50 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 37746,INFO
17/06/09 16:52:58 INFO output.FileOutputCommitter: Saved output of task 'attempt_201706091652_1576_m_000073_66602' to hdfs://10.10.34.11:9000/pjhe/test/5/_temporary/0/task_201706091652_1576_m_000073,INFO
"16/07/26 12:04:55 INFO storage.BlockManagerInfo: Added broadcast_64_piece3 in memory on mesos-slave-25:52848 (size: 4.0 MB, free: 2.6 GB)",INFO
17/06/09 10:32:18 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 25584,INFO
17/06/09 13:39:40 INFO storage.BlockManager: Found block rdd_25769_28 locally,INFO
17/06/08 19:22:43 INFO storage.BlockManager: Found block rdd_3349_5 locally,INFO
17/06/09 19:56:00 INFO storage.BlockManager: Found block rdd_3259_37 locally,INFO
17/06/07 16:29:17 INFO storage.BlockManager: Found block rdd_2_26 locally,INFO
17/06/08 11:34:09 INFO executor.Executor: Finished task 33.0 in stage 662.0 (TID 26513). 2213 bytes result sent to driver,INFO
